 5### termArr[0] = "algae" | les algues
 4### termArr[1] = "algae cultivation" | culture des algues
 4### termArr[2] = "apparent food consumption" | consommation apparente d'aliments
 5### termArr[3] = "aquaculture" | l'aquaculture
 3### termArr[4] = "aquaculture adaptations" | adaptations à l'aquaculture 
 4### termArr[5] = "aquaculture adaptations to climate change" | adaptations de l'aquaculture au changement climatique
 4### termArr[6] = "aquaculture development" | développement de l'aquaculture
 3### termArr[7] = "aquaculture insurance" | assurance de l'aquaculture
 4### termArr[8] = "aquaculture permits" | permis d'aquaculture
 3### termArr[9] = "aquaculture projections" | projections en matière d'aquaculture
 5### termArr[10] = "aquaculture production" | production aquacole
 4### termArr[11] = "aquaculture value chains" | chaînes de valeur de l'aquaculture
 4### termArr[12] = "aquaculture zoning" | zonage de l'aquaculture
 5### termArr[13] = "aquaponics" | l'aquaponie
 5### termArr[14] = "aquatic animal health" | santé des animaux aquatiques
 4### termArr[15] = "aquatic animal welfare" | bien-être des animaux aquatiques
 4### termArr[16] = "aquatic ecosystem health" | santé des écosystèmes aquatiques
 3### termArr[17] = "aquatic food" | aliments aquatiques
 5### termArr[18] = "aquatic product" | produit aquatique
 4### termArr[19] = "aquatic invasive species management" | gestion des espèces aquatiques envahissantes
 4### termArr[20] = "aquatic veterinary services" | services vétérinaires aquatiques
 5### termArr[21] = "artisanal aquaculture" | aquaculture artisanale
 5### termArr[22] = "artisanal fisheries" | pêche artisanale
 4### termArr[23] = "automated feeding systems" | systèmes d'alimentation automatisés
 3### termArr[24] = "benthic impacts of aquaculture" | les impacts benthiques de l'aquaculture
 3### termArr[25] = "biodegradable fish traps" | pièges à poissons biodégradables
 3### termArr[26] = "biodiversity conservation in aquaculture" | conservation de la biodiversité dans l'aquaculture
 4### termArr[27] = "biologically sustainable stocks" | stocks biologiquement durables
 3### termArr[28] = "bioremediation in aquaculture" | la bioremédiation dans l'aquaculture
 3### termArr[29] = "biosecurity in aquaculture" | la biosécurité dans l'aquaculture
 2### termArr[30] = "blue transformation" | transformation en bleu
 5### termArr[31] = "brackish water aquaculture" | aquaculture en eau saumâtre
 5### termArr[32] = "bycatch" | captures accessoires
 4### termArr[33] = "bycatch reduction devices" | dispositifs de réduction des prises accessoires
 3### termArr[34] = "byproduct utilization in fisheries" | utilisation des sous-produits dans la pêche
 4### termArr[35] = "capacity building in fisheries management" | renforcement des capacités de gestion de la pêche
 4### termArr[36] = "capture fisheries" | pêches de capture
 5### termArr[37] = "carbon footprint of fisheries" | empreinte carbone de la pêche
 4### termArr[38] = "certification in aquaculture" | certification dans l'aquaculture
 2### termArr[39] = "climate adaptation strategies for fisheries" | stratégies d'adaptation au climat pour la pêche
 4### termArr[40] = "climate change impacts on fisheries and aquaculture" | les effets des changements climatiques sur la pêche et l'aquaculture
 4### termArr[41] = "climate resilient aquaculture" | aquaculture résiliente au climat
 5### termArr[42] = "coastal zone management" | gestion des zones côtières
 5### termArr[43] = "commercial fisheries" | pêche commerciale
 5### termArr[44] = "community-based fisheries management" | gestion communautaire des pêches
 3### termArr[45] = "community-led marine conservation" | conservation marine dirigée par la communauté
