 5### termArr[0] = "algae" | las algas
 4### termArr[1] = "algae cultivation" | cultivo de algas
 4### termArr[2] = "apparent food consumption" | consumo aparente de alimentos
 5### termArr[3] = "aquaculture" | acuicultura
 2### termArr[4] = "aquaculture adaptations" | Adaptaciones a la acuicultura
 5### termArr[5] = "aquaculture adaptations to climate change" | adaptaciones de la acuicultura al cambio climático
 5### termArr[6] = "aquaculture development" | desarrollo de la acuicultura
 3### termArr[7] = "aquaculture insurance" | Seguro de la acuicultura
 5### termArr[8] = "aquaculture permits" | permisos de acuicultura
 4### termArr[9] = "aquaculture projections" | proyecciones de acuicultura
 4### termArr[10] = "aquaculture production" | producción de acuicultura
 5### termArr[11] = "aquaculture value chains" | cadenas de valor de la acuicultura
 5### termArr[12] = "aquaculture zoning" | zonificación de la acuicultura
 5### termArr[13] = "aquaponics" | acuaponía
 5### termArr[14] = "aquatic animal health" | salud de los animales acuáticos
 5### termArr[15] = "aquatic animal welfare" | bienestar de los animales acuáticos
 5### termArr[16] = "aquatic ecosystem health" | salud de los ecosistemas acuáticos
 5### termArr[17] = "aquatic food" | alimentos acuáticos
 3### termArr[18] = "aquatic product" | producto acuático
 5### termArr[19] = "aquatic invasive species management" | gestión de las especies acuáticas invasoras
 5### termArr[20] = "aquatic veterinary services" | servicios veterinarios acuáticos
 5### termArr[21] = "artisanal aquaculture" | acuicultura artesanal
 5### termArr[22] = "artisanal fisheries" | pesca artesanal
 5### termArr[23] = "automated feeding systems" | sistemas de alimentación automáticos
 5### termArr[24] = "benthic impacts of aquaculture" | efectos bentónicos de la acuicultura
 4### termArr[25] = "biodegradable fish traps" | trampas para peces biodegradables
 4### termArr[26] = "biodiversity conservation in aquaculture" | conservación de la biodiversidad en la acuicultura
 5### termArr[27] = "biologically sustainable stocks" | poblaciones biológicamente sostenibles
 5### termArr[28] = "bioremediation in aquaculture" | la biorremediación en la acuicultura
 5### termArr[29] = "biosecurity in aquaculture" | bioseguridad en la acuicultura
 3### termArr[30] = "blue transformation" | Transformación en azul
 5### termArr[31] = "brackish water aquaculture" | acuicultura en aguas salobres
 4### termArr[32] = "bycatch" | Captura accesoria
 5### termArr[33] = "bycatch reduction devices" | Dispositivos de reducción de las capturas accesorias
 5### termArr[34] = "byproduct utilization in fisheries" | utilización de subproductos en la pesca
 4### termArr[35] = "capacity building in fisheries management" | fomento de la capacidad en la gestión de la pesca
 4### termArr[36] = "capture fisheries" | pesquerías de captura
 5### termArr[37] = "carbon footprint of fisheries" | huella de carbono de la pesca
 5### termArr[38] = "certification in aquaculture" | certificación en la acuicultura
 5### termArr[39] = "climate adaptation strategies for fisheries" | estrategias de adaptación al clima para la pesca
 5### termArr[40] = "climate change impacts on fisheries and aquaculture" | efectos del cambio climático en la pesca y la acuicultura
 5### termArr[41] = "climate resilient aquaculture" | acuicultura resistente al clima
 3### termArr[42] = "coastal zone management" | gestión de las zonas costeras
 5### termArr[43] = "commercial fisheries" | pesca comercial
 3### termArr[44] = "community-based fisheries management" | gestión de la pesca basada en la comunidad
 3### termArr[45] = "community-led marine conservation" | conservación marina dirigida por la comunidad
 4### termArr[46] = "comparative analysis of aquaculture systems" | análisis comparativo de los sistemas de acuicultura
 5### termArr[47] = "conservation aquaculture" | acuicultura de conservación
 4### termArr[48] = "conservation genetics in fisheries" | genética de la conservación en la pesca
 5### termArr[49] = "consumption of aquactic foods" | consumo de alimentos acuáticos
 4### termArr[50] = "consumer preferences in seafood" | preferencias de los consumidores en productos del mar
 5### termArr[51] = "controlled breeding environments" | entornos de reproducción controlados
 5### termArr[52] = "coral reef fishery management" | gestión de la pesca de arrecifes de coral
 5### termArr[53] = "covid-19 impact" | Impacto del COVID-19
 5### termArr[54] = "critical habitat designation" | designación de hábitats críticos
 5### termArr[55] = "crustacean farming" | cría de crustáceos
 4### termArr[56] = "customary marine tenure" | tenencia marítima consuetudinaria
 5### termArr[57] = "data-limited fisheries management" | gestión de la pesca con datos limitados
 5### termArr[58] = "deep-sea aquaculture" | acuicultura de aguas profundas
 4### termArr[59] = "disease resistance in aquaculture species" | resistencia a las enfermedades en las especies de acuicultura
 5### termArr[60] = "ecolabelling of seafood" | etiquetado ecológico de los productos del mar
 4### termArr[61] = "eco-certification of fisheries" | certificación ecológica de las pesquerías
 5### termArr[62] = "economic incentives for sustainable fishing" | incentivos económicos para la pesca sostenible
 5### termArr[63] = "economic impacts of fish disease" | efectos económicos de las enfermedades de los peces
 5### termArr[64] = "ecosystem approach to fisheries (eaf)" | enfoque ecosistémico de la pesca (eaf)
 5### termArr[65] = "ecosystem services from aquaculture" | servicios de los ecosistemas de la acuicultura
 4### termArr[66] = "ecosystem-based aquaculture" | acuicultura basada en los ecosistemas
 5### termArr[67] = "education and training in marine sciences" | educación y formación en ciencias marinas
 3### termArr[68] = "employment law in fisheries" | legislación laboral en la pesca
 3### termArr[69] = "endangered species act compliance in fisheries" | cumplimiento de la ley de especies en peligro de extinción en la pesca
 5### termArr[70] = "energy efficiency in aquaculture" | eficiencia energética en la acuicultura
 5### termArr[71] = "enhanced fisheries management" | mejora de la gestión de la pesca
 5### termArr[72] = "environmental dna (edna) in fisheries monitoring" | ADN ambiental en el seguimiento de la pesca
 5### termArr[73] = "environmental impact of fish feed" | impacto ambiental de los piensos para peces
 5### termArr[74] = "ex-situ conservation of aquatic species" | conservación ex situ de las especies acuáticas
 2### termArr[75] = "feed conversion ratio (fcr)" | relación de conversión de la alimentación (fcr)
 4### termArr[76] = "finfish farming" | cultivo de peces de aleta
